,experiment,application,average,node,average_seconds
29,n1_x4_x2_x1_x4_x2,storm_logprocessing,83580.3328220859,1,83.5803328220859
30,n1_x4_x2_x2,spark_trafficmonitoring,43616859.3358191,1,43616.8593358191
31,n1_x4_x2_x2,storm_trafficmonitoring,10335903.4260422,1,10335.9034260422
32,n1_x5,storm_logprocessing,26196.433960972798,1,26.196433960972797
33,n1_x5,storm_trafficmonitoring,5579344.84058175,1,5579.34484058175
34,n1_x5,storm_wordcount,29089.551244165297,1,29.089551244165296
35,n1_x6,storm_logprocessing,1051.2429940628501,1,1.05124299406285
36,n1_x6,storm_trafficmonitoring,1780660.03040157,1,1780.66003040157
37,n1_x6,storm_wordcount,43458.2769730598,1,43.4582769730598
38,n1_x8_x2_x1_x4_x2,spark_logprocessing,2569.37347215935,1,2.56937347215935
39,n1_x8_x2_x1_x4_x2,storm_logprocessing,47720.110489510495,1,47.720110489510496
40,n1_x8_x2_x2,storm_trafficmonitoring,173681.920710059,1,173.681920710059
41,n1_x8_x4_x2_x8_x4,storm_logprocessing,255.06081650242402,1,0.255060816502424
42,n2_x1,storm_logprocessing,330.604806408545,2,0.330604806408545
43,n2_x1,storm_trafficmonitoring,211006.14603174603,2,211.00614603174603
44,n2_x1,storm_wordcount,2321.6045453698002,2,2.3216045453698
45,n2_x1_x2_x1_x4_x2,spark_logprocessing,8541.72202998847,2,8.54172202998847
46,n2_x1_x2_x1_x4_x2,storm_logprocessing,4.05050134507214,2,0.004050501345072141
47,n2_x1_x2_x2,storm_trafficmonitoring,504931.30049751204,2,504.93130049751204
48,n2_x1_x5_x6_x3,spark_wordcount,30100.051504900002,2,30.1000515049
49,n2_x1_x5_x6_x3,storm_wordcount,489.53097613096804,2,0.489530976130968
50,n2_x2,storm_logprocessing,51.342562637076206,2,0.051342562637076206
51,n2_x2,storm_trafficmonitoring,220868.79122914802,2,220.86879122914803
52,n2_x2,storm_wordcount,54036.518276619405,2,54.036518276619404
53,n2_x2_x10_x12_x6,storm_wordcount,69113.0619592575,2,69.1130619592575
54,n2_x2_x2_x1_x4_x2,spark_logprocessing,4156.42327150084,2,4.15642327150084
55,n2_x2_x2_x1_x4_x2,storm_logprocessing,24.444152116718502,2,0.024444152116718503
56,n2_x2_x2_x2,storm_trafficmonitoring,185596.27191867898,2,185.59627191867898
57,n2_x2_x5_x6_x3,spark_wordcount,30220.6235703883,2,30.220623570388298
58,n2_x2_x5_x6_x3,storm_wordcount,69766.7023220958,2,69.76670232209581
59,n2_x3,storm_logprocessing,141.220571639001,2,0.141220571639001
60,n2_x3,storm_trafficmonitoring,253939.08598855103,2,253.93908598855103
61,n2_x3,storm_wordcount,10530.8470986799,2,10.5308470986799
62,n2_x3_x15_x18_x9,storm_wordcount,73387.1849756811,2,73.3871849756811
63,n2_x3_x3_x6_x3,storm_wordcount,57786.4109751588,2,57.786410975158795
64,n2_x3_x5_x6_x3,spark_wordcount,24463.1167392591,2,24.463116739259103
65,n2_x3_x5_x6_x3,storm_wordcount,35902.5912736805,2,35.9025912736805
66,n2_x3_x6_x12_x3,storm_wordcount,35427.5985362752,2,35.427598536275205
67,n2_x4,storm_logprocessing,178.276849721758,2,0.178276849721758
68,n2_x4,storm_trafficmonitoring,1834914.39168225,2,1834.91439168225
69,n2_x4,storm_wordcount,49042.5578518458,2,49.0425578518458
70,n2_x4_x2_x1_x4_x2,spark_logprocessing,2965.6651875756397,2,2.96566518757564
71,n2_x4_x2_x1_x4_x2,storm_logprocessing,96.78697421980999,2,0.09678697421980999
72,n2_x4_x2_x2,storm_trafficmonitoring,6611512.60084605,2,6611.51260084605
73,n2_x5,storm_logprocessing,75.1689169211603,2,0.0751689169211603
74,n2_x5,storm_trafficmonitoring,520930.18613851705,2,520.930186138517
75,n2_x5,storm_wordcount,86130.4095038498,2,86.1304095038498
76,n2_x6,storm_logprocessing,382.879002978818,2,0.382879002978818
77,n2_x6,storm_trafficmonitoring,170133.762049026,2,170.133762049026
78,n2_x6,storm_wordcount,67517.1448403736,2,67.5171448403736
79,n2_x8_x2_x1_x4_x2,spark_logprocessing,3017.44391227628,2,3.01744391227628
80,n2_x8_x2_x1_x4_x2,storm_logprocessing,6838.61380838102,2,6.83861380838102
81,n2_x8_x2_x2,storm_trafficmonitoring,1026687.29322814,2,1026.6872932281399
82,n2_x8_x4_x2_x8_x4,storm_logprocessing,693.2560974988901,2,0.6932560974988901
83,n4_x1,storm_logprocessing,17.987828315182604,4,0.017987828315182603
84,n4_x1,storm_trafficmonitoring,260526.407516581,4,260.526407516581
85,n4_x1,storm_wordcount,6913.214635013779,4,6.913214635013779
86,n4_x1_x2_x1_x4_x2,spark_logprocessing,9776.59511012752,4,9.77659511012752
87,n4_x1_x2_x1_x4_x2,storm_logprocessing,11.774805334978002,4,0.011774805334978001
88,n4_x1_x2_x2,storm_trafficmonitoring,572924.389487871,4,572.9243894878709
89,n4_x1_x5_x6_x3,spark_wordcount,22485.5769731385,4,22.4855769731385
90,n4_x1_x5_x6_x3,storm_wordcount,1574.23920514762,4,1.57423920514762
91,n4_x2,storm_logprocessing,243.448667784257,4,0.243448667784257
92,n4_x2,storm_trafficmonitoring,861174.4897189629,4,861.174489718963
93,n4_x2,storm_wordcount,5663.50785017408,4,5.66350785017408
94,n4_x2_x10_x12_x6,storm_wordcount,2176.7869056926897,4,2.1767869056926896
95,n4_x2_x2_x1_x4_x2,spark_logprocessing,5243.91422227416,4,5.24391422227416
96,n4_x2_x2_x1_x4_x2,storm_logprocessing,6.24756779134755,4,0.00624756779134755
97,n4_x2_x2_x2,spark_trafficmonitoring,35302215.9149239,4,35302.2159149239
98,n4_x2_x2_x2,storm_trafficmonitoring,444706.06980656,4,444.70606980656
99,n4_x2_x5_x6_x3,spark_wordcount,25924.781550167798,4,25.924781550167797
100,n4_x2_x5_x6_x3,storm_wordcount,21331.8856263535,4,21.3318856263535
101,n4_x3,storm_logprocessing,7228.49202352408,4,7.22849202352408
102,n4_x3,storm_trafficmonitoring,8204972.1493607,4,8204.9721493607
103,n4_x3,storm_wordcount,58360.94993154019,4,58.36094993154019
104,n4_x3_x15_x18_x9,storm_wordcount,27552.9141071801,4,27.552914107180097
105,n4_x3_x3_x6_x3,storm_wordcount,13728.623034055801,4,13.7286230340558
106,n4_x3_x5_x6_x3,spark_wordcount,23613.5836153283,4,23.613583615328302
107,n4_x3_x5_x6_x3,storm_wordcount,35367.917034544706,4,35.3679170345447
108,n4_x3_x6_x12_x3,storm_wordcount,28196.978816208302,4,28.1969788162083
109,n4_x4,storm_logprocessing,8801.57638670521,4,8.80157638670521
110,n4_x4,storm_trafficmonitoring,9326765.80821481,4,9326.76580821481
111,n4_x4,storm_wordcount,38891.225810435295,4,38.891225810435294
112,n4_x4_x2_x1_x4_x2,spark_logprocessing,3721.2062060734706,4,3.7212062060734707
113,n4_x4_x2_x1_x4_x2,storm_logprocessing,141.671606864275,4,0.141671606864275
114,n4_x4_x2_x2,storm_trafficmonitoring,6872855.38373452,4,6872.85538373452
115,n4_x5,storm_logprocessing,19454.601436633402,4,19.454601436633403
116,n4_x5,storm_trafficmonitoring,730289.021487488,4,730.289021487488
117,n4_x5,storm_wordcount,26915.911585057598,4,26.915911585057597
118,n4_x6,storm_logprocessing,9344.647504224009,4,9.344647504224008
119,n4_x6,storm_trafficmonitoring,9886344.51990462,4,9886.344519904618
120,n4_x6,storm_wordcount,38783.681875152404,4,38.7836818751524
121,n4_x8_x2_x1_x4_x2,spark_logprocessing,2720.64934032745,4,2.7206493403274497
122,n4_x8_x2_x1_x4_x2,storm_logprocessing,17257.3095238095,4,17.2573095238095
123,n4_x8_x2_x2,spark_trafficmonitoring,21290498.8742954,4,21290.498874295397
124,n4_x8_x2_x2,storm_trafficmonitoring,103118.693918919,4,103.118693918919
125,n4_x8_x4_x2_x8_x4,storm_logprocessing,20280.8413714053,4,20.280841371405298
126,n8_x1,storm_logprocessing,7.95833157961194,8,0.00795833157961194
127,n8_x1,storm_trafficmonitoring,274829.345728643,8,274.82934572864303
128,n8_x1,storm_wordcount,7143.2044074266905,8,7.1432044074266905
129,n8_x1_x2_x1_x4_x2,spark_logprocessing,9812.29875742842,8,9.81229875742842
130,n8_x1_x2_x1_x4_x2,storm_logprocessing,4.89977260801119,8,0.00489977260801119
131,n8_x1_x2_x2,storm_trafficmonitoring,43820712.47592921,8,43820.712475929206
132,n8_x1_x5_x6_x3,spark_wordcount,26752.1967323336,8,26.752196732333598
133,n8_x1_x5_x6_x3,storm_wordcount,50.3343274024129,8,0.0503343274024129
134,n8_x2,storm_logprocessing,30.3436068539405,8,0.0303436068539405
135,n8_x2,storm_trafficmonitoring,2548396.59970406,8,2548.3965997040596
136,n8_x2,storm_wordcount,1235.4517698960499,8,1.2354517698960499
137,n8_x2_x10_x12_x6,storm_wordcount,51.977458211961896,8,0.0519774582119619
138,n8_x2_x2_x1_x4_x2,spark_logprocessing,6969.3961701810595,8,6.969396170181059
139,n8_x2_x2_x1_x4_x2,storm_logprocessing,4.99741376031643,8,0.0049974137603164305
140,n8_x2_x2_x2,storm_trafficmonitoring,305927.130864198,8,305.92713086419803
141,n8_x2_x5_x6_x3,spark_wordcount,23625.82965848,8,23.62582965848
142,n8_x2_x5_x6_x3,storm_wordcount,1405.6178433033099,8,1.40561784330331
143,n8_x3,storm_logprocessing,3168.3427510658303,8,3.1683427510658304
144,n8_x3,storm_trafficmonitoring,4325742.75637982,8,4325.74275637982
145,n8_x3,storm_wordcount,41466.0019471772,8,41.466001947177205
146,n8_x3_x15_x18_x9,storm_wordcount,1958.59946342803,8,1.9585994634280302
147,n8_x3_x3_x6_x3,storm_wordcount,14779.1693586385,8,14.779169358638502
148,n8_x3_x5_x6_x3,spark_wordcount,23647.845736969302,8,23.647845736969302
149,n8_x3_x5_x6_x3,storm_wordcount,16686.186793055902,8,16.686186793055903
150,n8_x3_x6_x12_x3,storm_wordcount,2145.40241829088,8,2.14540241829088
151,n8_x4,storm_logprocessing,2335.94971922163,8,2.33594971922163
152,n8_x4,storm_trafficmonitoring,2901693.28952088,8,2901.69328952088
153,n8_x4,storm_wordcount,5705.1998758254795,8,5.705199875825479
154,n8_x4_x2_x1_x4_x2,spark_logprocessing,3977.9600394671897,8,3.97796003946719
155,n8_x4_x2_x1_x4_x2,storm_logprocessing,72.9620157001773,8,0.07296201570017731
156,n8_x4_x2_x2,storm_trafficmonitoring,58581.9828460039,8,58.581982846003896
157,n8_x5,storm_logprocessing,4096.61056518882,8,4.09661056518882
158,n8_x5,storm_trafficmonitoring,518515.35979162,8,518.51535979162
159,n8_x5,storm_wordcount,17573.2877845072,8,17.5732877845072
160,n8_x6,storm_logprocessing,5898.268490244511,8,5.898268490244511
161,n8_x6,storm_trafficmonitoring,3272979.21978009,8,3272.97921978009
162,n8_x6,storm_wordcount,20222.8839574397,8,20.2228839574397
163,n8_x8_x2_x1_x4_x2,spark_logprocessing,2867.36524861277,8,2.86736524861277
164,n8_x8_x2_x1_x4_x2,storm_logprocessing,7450.65873015873,8,7.45065873015873
165,n8_x8_x2_x2,storm_trafficmonitoring,515574.385492228,8,515.574385492228
166,n8_x8_x4_x2_x8_x4,storm_logprocessing,5423.50688276043,8,5.42350688276043
