app,operator_id,operator,ratio,throughput_avg,throughput_5th,throughput_stddev,process_time_99th,process_time_95th,process_time_avg,process_time_stddev
voipstream,1,ECR24Filter,0.952504749525,3.0384615384615383,2.0,0.8694349658044089,0.418324,0.234964,0.107615,0.087465
voipstream,2,VariationDetector,2.0,3.0384615384615383,2.0,0.8694349658044089,347.152482,344.088015,277.343848,21.184818
voipstream,3,ENCRFilter,0.342465753425,3.039940828402367,2.0,0.8702186333741098,0.016844,0.002709,0.002168,0.00208
voipstream,4,ECRFilter,0.952504749525,3.039940828402367,2.0,0.8702186333741098,0.324969,0.263821,0.143276,0.062281
voipstream,5,FoFiRModule,0.5,5.594674556213017,4.0,1.2349333573294234,0.138089,0.124281,0.040215,0.034906
voipstream,6,source,1.0,2131.0,2131.0,0.0,0.755838,0.496462,0.484533,4.924701
voipstream,7,RCRFilter,0.476252374763,5.865384615384615,4.0,1.1568870186688487,0.41803,0.19458,0.056545,0.079611
voipstream,8,ACDModule,0.149224468456,6.792899408284024,6.0,0.6237483528096776,0.056091,0.027053,0.008287,0.015639
voipstream,9,Scorer,0.265815828041,4.841715976331361,3.0,1.5821038767182785,0.406571,0.077781,0.037436,0.079224
voipstream,10,CT24Filter,0.342465753425,3.0384615384615383,2.0,0.8694349658044088,0.036071,0.036071,0.004701,0.009682
voipstream,11,URLModule,0.264458342985,3.838757396449704,3.0,0.7085953229284411,0.249378,0.249378,0.035058,0.055242
voipstream,12,sink,0.0,2.1246943765281174,1.0,0.734481815568731,0.110617,0.110617,0.052051,0.029722
sentimentanalysis,0,source,0.4999995,3873.87596899,2477.7,776.748460354,0.280461,0.206834,0.090738,0.091902
sentimentanalysis,1,classifier,0.996172,1944.9688716,1258.4,370.276769715,0.375595,0.218215,0.191016,0.064928
logprocessing,0,source,0.999996950965,28486.9304348,22806.7,4818.50057089,0.043009,0.029227,0.028538,0.085371
logprocessing,1,statuscounter,1.0,28486.8521739,22807.4,4818.63429911,0.012023,0.006269,0.005351,0.00241
logprocessing,2,geosummarizer,1.0,23770.6521739,13517.8,5251.32359471,0.016845,0.014871,0.008327,0.002482
logprocessing,3,volumecounter,1.0,28486.8434783,22855.4,4817.30960742,0.017182,0.01385,0.008834,0.002916
logprocessing,4,geolocator,0.83484881008,28473.7043478,16213.4,6373.58198923,0.049929,0.041278,0.029042,0.012457
spikedetection,0,source,0.959424000609,38276.45,30911.0,5562.16702202,0.042229,0.024022,0.021369,0.012016
spikedetection,1,spikedetector,0.715490969244,36724.9166667,29656.5,5255.35467021,0.009808,0.006946,0.00461,0.003445
spikedetection,2,movingaverage,1.0,36724.9166667,29655.65,5255.3416327,0.014176,0.008718,0.007291,0.001706
trendingtopics,0,source,1.0,4144.17842324,2865.0,650.403734582,0.31927,0.206813,0.087919,0.089178
trendingtopics,1,counter,4.24542600411,498.663900415,316.0,114.345980339,0.005916,0.002042,0.001058,0.00103
trendingtopics,3,intermediateranker,0.000364852538766,4074744,3039.8,585.400497492,0.001719,0.001245,0.000726,0.000494
trendingtopics,4,topicextractor,0.240162,2072.58921162,1433.0,325.183053025,0.048609,0.023109,0.0066,0.051121
trendingtopics,5,totalranker,1.0,2.0,2.0,0.0,0.12014,0.089103,0.061872,0.022063
wordcount,0,source,0.823231265153,72400.2592593,30454.2,30981.6799578,0.006318,0.003529,0.002832,0.003139
wordcount,1,splitter,10.3664328019,6158.65838509,1129.0,6294.12668361,0.059256,0.052932,0.036679,0.013768
wordcount,2,counter,0.999997588382,49131775,8653.2,49001.9907076,0.005676,0.004425,0.004027,0.000676
spamfilter,0,source,0.999900009999,5999,3.0,2.42425225585,0.68191,0.50672,4.473067,77.376311
spamfilter,1,tokenizer,192.8087,6.05204648813,3.0,2.56138771561,1432.876495,6.14952,26.986179,188.205821
spamfilter,2,wordprobability,1.0,965.350175088,198.0,684.603725208,0.021801,0.017833,0.012459,0.004729
spamfilter,3,bayesrule,0.00518648795412,965.832832833,198.85,684.631808929,0.002257,0.001073,0.00071,0.001598
frauddetection,0,source,0.9999998,76325.7076923,19530.0,23689.4679089,0.011274,0.007744,0.00728,0.000844
frauddetection,1,predictor,8.4e-05,76325.7076923,19529.6,23690.3899378,0.004569,0.00117,0.000909,0.000635
clickanalytics,0,source,0.9999995,32308.2786885,17815.0,8356.96653948,0.023535,0.014931,0.011388,0.003213
clickanalytics,1,totallocator,1.0,21095.9871795,9654.05,6042.92836656,0.012511,0.009006,0.007713,0.001204
clickanalytics,2,locator,0.8348675,24943.0759494,10405.9,7850.50394701,0.056648,0.042527,0.067172,1.195057
clickanalytics,3,visitrepeat,1.0,32308.2786885,17814.0,8285.38485929,0.01352,0.006929,0.005422,2
clickanalytics,4,visittotal,1.0,32308.2786885,17814.0,8284.08763268,0.017205,0.013142,0.005534,0.003077
machineoutlier,0,source,0.9999995,27884.3943662,5037.0,11659.85146,0.015608,0.010217,0.009838,0.029155
machineoutlier,1,anomalyscorer,24.3782060415,3886.21621622,47.05,18525.1871948,0.001867,0.000905,0.266702,4.941789
machineoutlier,2,alerttrigger,0.0497763361348,95010.1780822,24949.0,38592.3348938,0.000446,0.00029,0.000138,0.000104
machineoutlier,3,scorer,0.975876,34594.9285714,3602.0,20218.4704097,0.000788,0.000287,0.00055,0.007301
